书名,作者,豆瓣评分,豆瓣链接
《热爱生命》,(美)杰克·伦敦著,9.0,https://book.douban.com/subject/1082147/
《大唐狄公案》,[荷兰] 高罗佩,9.0,https://book.douban.com/subject/3124386/
《天人五衰》,(日)三岛由纪夫,9.0,https://book.douban.com/subject/5395162/
《押沙龙，押沙龙！》,[美] 威廉·福克纳,9.0,https://book.douban.com/subject/4619135/
《64》,橫山秀夫,9.0,https://book.douban.com/subject/25732311/
《卡尔维诺文集（第五卷）》,[意大利] 卡尔维诺,9.0,https://book.douban.com/subject/1032431/
《月亮和六便士》,[英] 毛姆,8.9,https://book.douban.com/subject/1858513/
《霍乱时期的爱情》,[哥伦比亚] 加西亚·马尔克斯,8.9,https://book.douban.com/subject/10594787/
《不属于我们的世纪》,[美] 马修·托马斯,8.9,https://book.douban.com/subject/26831234/
《围城》,钱锺书,8.9,https://book.douban.com/subject/1008145/
《思家小馆的晚餐》,[美] 安·泰勒,8.9,https://book.douban.com/subject/26864983/
《香蕉的低语》,[土耳其] 伊切·泰玛尔库兰,8.9,https://book.douban.com/subject/26864850/
《献给阿尔吉侬的花束》,[美] 丹尼尔·凯斯,8.9,https://book.douban.com/subject/1442869/
《火星救援》,[美] 安迪·威尔,8.9,https://book.douban.com/subject/26586492/
《台北人》,白先勇,8.9,https://book.douban.com/subject/5337248/
《无人生还》,[英] 阿加莎克里斯蒂,8.9,https://book.douban.com/subject/3006581/
《所有我们看不见的光》,安东尼·多尔,8.9,https://book.douban.com/subject/26431326/
《不存在的父亲》,[英] 迈克尔·道布斯,8.9,https://book.douban.com/subject/26837789/
《教父》,[美]马里奥·普佐,8.9,https://book.douban.com/subject/1092335/
《单程票》,[法]迪迪尔·范·考韦拉尔特,8.9,https://book.douban.com/subject/26840109/
《城南旧事》,林海音 文,8.9,https://book.douban.com/subject/1254588/
《基督山伯爵》,大仲马,8.9,https://book.douban.com/subject/1085860/
《嫌疑人X的献身》,[日] 东野圭吾,8.9,https://book.douban.com/subject/3211779/
《死缓（全两册）》,[法] 路易-费迪南·塞利纳,8.9,https://book.douban.com/subject/26640439/
《黑锅》,常书欣,8.9,https://book.douban.com/subject/26870160/
《奥丽芙·基特里奇》,(美)伊丽莎白·斯特劳特,8.9,https://book.douban.com/subject/6746290/
《荒原狼》,[德]赫尔曼·黑塞,8.9,https://book.douban.com/subject/3131626/
《霸王别姬 青蛇》,李碧华,8.9,https://book.douban.com/subject/1018577/
《卡夫卡小说全集（全三册）》,[奥] 卡夫卡,8.9,https://book.douban.com/subject/1081422/
《葬礼竞技会》,[英] 玛丽·瑞瑙特,8.9,https://book.douban.com/subject/26686803/
《爱德华·巴纳德的堕落》,[英] 毛姆,8.9,https://book.douban.com/subject/26840830/
《佩德罗·巴拉莫》,[墨西哥]胡安·鲁尔福,8.9,https://book.douban.com/subject/2295912/
《金瓯缺》,徐兴业,8.9,https://book.douban.com/subject/4000908/
《大师的盛宴》,奥森·斯科特·卡德 编,8.9,https://book.douban.com/subject/11511232/
《夜旅人》,赵熙之,8.9,https://book.douban.com/subject/26853361/
《少数派报告》,(美)菲利普·迪克,8.9,https://book.douban.com/subject/24715669/
《恐惧》,[奥]斯蒂芬茨威格,8.9,https://book.douban.com/subject/10563555/
《盲刺客》,玛·阿特伍德,8.9,https://book.douban.com/subject/1960035/
《道连·葛雷的画像》,[英] 奥斯卡·王尔德,8.9,https://book.douban.com/subject/1856025/
《再见，萤火虫小巷》,[美] 克莉丝汀·汉娜,8.9,https://book.douban.com/subject/26844525/
《亮剑》,都梁,8.9,https://book.douban.com/subject/1088022/
《梦书之城》,[德]瓦尔特·莫尔斯,8.9,https://book.douban.com/subject/25831096/
《希区柯克悬念故事集》,（美）希区柯克,8.9,https://book.douban.com/subject/4116629/
《哈利·波特与阿兹卡班的囚徒》,[英] J. K. 罗琳,8.9,https://book.douban.com/subject/1071241/
《哈利·波特与死亡圣器》,[英] J. K. 罗琳,8.9,https://book.douban.com/subject/2295163/
《血色子午线》,科马克·麦卡锡,8.9,https://book.douban.com/subject/20444771/
《绿毛水怪》,王小波,8.9,https://book.douban.com/subject/3518332/
《鱼王》,[苏]维·阿斯塔菲耶夫,8.9,https://book.douban.com/subject/1484616/
《悲惨世界（上中下）》,[法] 雨果,8.9,https://book.douban.com/subject/1205054/
《笑傲江湖（全四册）》,金庸,8.9,https://book.douban.com/subject/1002299/
《爱在黎明破晓前&amp;爱在日落黄昏时》,理查德·林克莱特,8.9,https://book.douban.com/subject/25924242/
《西线无战事》,[德国]埃里希·玛丽亚·雷马克,8.9,https://book.douban.com/subject/2254615/
《癌症楼》,[俄罗斯]亚历山大·索尔仁尼琴,8.9,https://book.douban.com/subject/2228707/
《涅朵奇卡·涅茨瓦诺娃》,陀思妥耶夫斯基,8.9,https://book.douban.com/subject/2131426/
《夏日遇见狄更斯》,[美] 雷·布拉德伯里,8.9,https://book.douban.com/subject/26834592/
《射雕英雄传（全四册）》,金庸,8.9,https://book.douban.com/subject/1044547/
《哈利·波特与火焰杯》,[英] J. K. 罗琳,8.9,https://book.douban.com/subject/1009257/
《过于喧嚣的孤独》,博·赫拉巴尔,8.9,https://book.douban.com/subject/4285240/
《永不言弃》,乔乔·莫伊斯,8.9,https://book.douban.com/subject/26611176/
《追风筝的人》,[美] 卡勒德·胡赛尼,8.8,https://book.douban.com/subject/1770782/
《斯通纳》,[美] 约翰·威廉斯,8.8,https://book.douban.com/subject/26425831/
《夜色人生》,[美] 丹尼斯·勒翰,8.8,https://book.douban.com/subject/26787935/
《静默》,[法] 维罗妮克·普兰,8.8,https://book.douban.com/subject/26849452/
